2023-07-10 18:18:25.517[1689005905517] | INFO  | main       | c.b.c.f.client.utils.RequestHandler  - GET https://fapi.binance.com/fapi/v1/exchangeInfo
2023-07-10 18:18:28.599[1689005908599] | INFO  | Thread-1   | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connecting to fstream.binance.com/ws/btcusdt@kline_15m
2023-07-10 18:18:28.604[1689005908604] | INFO  | pool-2-thread-1 | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/listenKey
2023-07-10 18:18:28.850[1689005908850] | INFO  | pool-2-thread-1 | c.b.c.f.client.utils.RequestHandler  - PUT https://fapi.binance.com/fapi/v1/listenKey
2023-07-10 18:18:29.100[1689005909100] | INFO  | pool-2-thread-1 | c.t.binancebot.api.ConnectionService - {}
2023-07-10 18:18:29.806[1689005909806] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 1] Connected to Server
2023-07-10 18:18:30.590[1689005910590] | INFO  | Thread-2   | c.b.c.f.c.utils.WebSocketConnection  - [Connection 2] Connecting to fstream.binance.com/ws/cIQib8uBEiQcvBKoLWdGSFSqiRWtQG4b5S9nN9hfIcPTldkcoU44EHgie6yW14Pe
2023-07-10 18:18:31.546[1689005911546] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.c.utils.WebSocketConnection  - [Connection 2] Connected to Server
2023-07-10 18:44:59.679[1689007499679] | INFO  | OkHttp https://fstream.binance.com/... | c.t.b.service.FullOrderRepoServices  - Clear waitingList
2023-07-10 18:44:59.776[1689007499776] | INFO  | OkHttp https://fstream.binance.com/... | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/order?symbol=BTCUSDT&side=BUY&type=LIMIT&timeInForce=GTC&quantity=0.001&price=30267.0&timestamp=1689007499768&signature=cf0bc53290300402ba662e476fb4ae3dbdfe51d17771b550564a83f114d7f93f
2023-07-10 18:45:01.335[1689007501335] | INFO  | OkHttp https://fstream.binance.com/... | c.t.binancebot.orders.CreateNewOrder - {"orderId":169604112498,"symbol":"BTCUSDT","status":"NEW","clientOrderId":"ps9OphS3IwbPMmd4oPO524","price":"30267","avgPrice":"0.00000","origQty":"0.001","executedQty":"0","cumQty":"0","cumQuote":"0","timeInForce":"GTC","type":"LIMIT","reduceOnly":false,"closePosition":false,"side":"BUY","positionSide":"BOTH","stopPrice":"0","workingType":"CONTRACT_PRICE","priceProtect":false,"origType":"LIMIT","updateTime":1689007502272}
2023-07-10 18:48:28.608[1689007708608] | INFO  | pool-2-thread-1 | c.b.c.f.client.utils.RequestHandler  - POST https://fapi.binance.com/fapi/v1/listenKey
2023-07-10 18:48:30.151[1689007710151] | INFO  | pool-2-thread-1 | c.b.c.f.client.utils.RequestHandler  - PUT https://fapi.binance.com/fapi/v1/listenKey
2023-07-10 18:48:30.397[1689007710397] | INFO  | pool-2-thread-1 | c.t.binancebot.api.ConnectionService - {}
